, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value ,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return.1,Excess Return.1,Systematic Risk.1,Total Risk.1,Abs. Win Rate.1,Rel. Win Rate.1
0,1.0,0.0,0.0,0.0,0.0,13.90%,1.00%,1.33,14.90%,66.30%,52.50%,0.532,0.478,0.738,0.8,0.52,0.41200000000000003
1,0.0,1.0,0.0,0.0,0.0,14.30%,1.00%,1.17,10.80%,66.30%,65.00%,0.55,0.488,0.5720000000000001,0.41200000000000003,0.52,0.765
2,0.0,0.0,1.0,0.0,0.0,17.30%,1.80%,1.3,14.40%,63.80%,51.30%,0.693,0.63,0.703,0.757,0.44,0.376
3,0.0,0.0,0.0,1.0,0.0,9.60%,-0.20%,1.39,14.40%,61.30%,47.50%,0.324,0.256,0.8,0.7559999999999999,0.36,0.271
4,0.0,0.0,0.0,0.0,1.0,9.60%,0.10%,1.04,8.70%,72.50%,53.80%,0.327,0.307,0.43200000000000005,0.209,0.72,0.447
5,0.0,0.0,0.0,0.0,0.0,7.00%,-0.50%,1.1,11.00%,56.30%,46.30%,0.2,0.2,0.491,0.429,0.2,0.235
6,0.5,0.5,0.0,0.0,0.0,19.50%,2.60%,0.97,10.50%,73.80%,63.80%,0.8,0.8,0.36,0.375,0.76,0.7290000000000001
7,0.5,0.0,0.5,0.0,0.0,16.40%,1.60%,1.32,14.90%,65.00%,51.30%,0.652,0.594,0.7240000000000001,0.797,0.48,0.376
8,0.0,0.5,0.5,0.0,0.0,18.50%,2.20%,1.06,10.90%,67.50%,65.00%,0.751,0.721,0.45399999999999996,0.418,0.56,0.765
9,0.5,0.0,0.0,0.5,0.0,15.00%,1.50%,1.05,11.30%,70.00%,51.30%,0.585,0.5870000000000001,0.439,0.46,0.64,0.376
10,0.0,0.5,0.0,0.5,0.0,15.90%,1.50%,1.17,11.50%,67.50%,63.80%,0.627,0.574,0.564,0.473,0.56,0.7290000000000001
11,0.0,0.0,0.5,0.5,0.0,17.00%,1.80%,1.16,12.30%,68.80%,56.30%,0.68,0.638,0.563,0.5539999999999999,0.6,0.518
12,0.5,0.0,0.0,0.0,0.5,14.00%,1.10%,1.09,10.70%,70.00%,57.50%,0.536,0.511,0.48200000000000004,0.396,0.64,0.5529999999999999
13,0.0,0.5,0.0,0.0,0.5,12.30%,0.80%,1.01,8.80%,65.00%,66.30%,0.456,0.44299999999999995,0.4,0.218,0.48,0.8
14,0.0,0.0,0.5,0.0,0.5,14.50%,1.30%,1.07,10.30%,70.00%,56.30%,0.561,0.539,0.45799999999999996,0.364,0.64,0.518
15,0.0,0.0,0.0,0.5,0.5,9.00%,-0.10%,1.15,10.90%,66.30%,50.00%,0.298,0.266,0.55,0.415,0.52,0.341
16,0.5,0.0,0.0,0.0,0.0,11.80%,0.90%,0.97,10.90%,68.80%,50.00%,0.43,0.474,0.35700000000000004,0.41600000000000004,0.6,0.341
17,0.0,0.5,0.0,0.0,0.0,15.40%,1.70%,0.99,10.10%,67.50%,62.50%,0.605,0.612,0.374,0.344,0.56,0.6940000000000001
18,0.0,0.0,0.5,0.0,0.0,13.80%,1.30%,1.04,11.40%,63.80%,55.00%,0.527,0.544,0.426,0.462,0.44,0.48200000000000004
19,0.0,0.0,0.0,0.5,0.0,10.10%,0.30%,1.12,12.20%,61.30%,48.80%,0.349,0.35600000000000004,0.515,0.537,0.36,0.306
20,0.0,0.0,0.0,0.0,0.5,9.30%,0.10%,1.01,9.10%,62.50%,50.00%,0.312,0.31,0.40299999999999997,0.24,0.4,0.341
21,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,19.20%,2.40%,1.08,11.70%,70.00%,65.00%,0.786,0.76,0.47200000000000003,0.49200000000000005,0.64,0.765
22,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,0.0,18.30%,2.30%,0.98,10.20%,72.50%,57.50%,0.74,0.7390000000000001,0.365,0.355,0.72,0.5529999999999999
23,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.0,16.40%,1.70%,1.14,12.40%,70.00%,48.80%,0.652,0.625,0.535,0.562,0.64,0.306
24,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,18.40%,2.20%,1.07,10.90%,70.00%,61.30%,0.747,0.7120000000000001,0.467,0.414,0.64,0.659
25,0.33299999999999996,0.33299999999999996,0.0,0.0,0.33299999999999996,14.70%,1.50%,0.95,9.20%,71.30%,62.50%,0.57,0.581,0.34,0.252,0.68,0.6940000000000001
26,0.33299999999999996,0.0,0.33299999999999996,0.0,0.33299999999999996,16.80%,1.70%,1.17,12.20%,67.50%,58.80%,0.668,0.621,0.565,0.5429999999999999,0.56,0.588
27,0.0,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,14.60%,1.40%,0.99,9.30%,67.50%,60.00%,0.567,0.562,0.379,0.267,0.56,0.624
28,0.33299999999999996,0.0,0.0,0.33299999999999996,0.33299999999999996,12.70%,1.00%,0.99,9.60%,68.80%,53.80%,0.474,0.48200000000000004,0.375,0.293,0.6,0.447
29,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,12.40%,0.70%,1.09,10.10%,67.50%,58.80%,0.461,0.43,0.486,0.337,0.56,0.588
30,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,13.80%,1.20%,1.04,10.00%,67.50%,60.00%,0.527,0.514,0.43,0.335,0.56,0.624
31,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,17.00%,2.40%,0.82,9.40%,73.80%,56.30%,0.678,0.746,0.2,0.276,0.76,0.518
32,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,13.50%,1.20%,1.07,11.90%,63.80%,52.50%,0.513,0.525,0.46,0.511,0.44,0.41200000000000003
33,0.0,0.33299999999999996,0.33299999999999996,0.0,0.0,18.50%,2.40%,0.98,10.50%,67.50%,58.80%,0.753,0.755,0.369,0.377,0.56,0.588
34,0.33299999999999996,0.0,0.0,0.33299999999999996,0.0,12.70%,1.10%,0.94,10.10%,66.30%,55.00%,0.471,0.512,0.325,0.33899999999999997,0.52,0.48200000000000004
35,0.0,0.33299999999999996,0.0,0.33299999999999996,0.0,15.60%,1.70%,0.99,10.30%,65.00%,57.50%,0.613,0.621,0.377,0.35600000000000004,0.48,0.5529999999999999
36,0.0,0.0,0.33299999999999996,0.33299999999999996,0.0,15.70%,1.60%,1.07,11.40%,65.00%,52.50%,0.619,0.609,0.465,0.46399999999999997,0.48,0.41200000000000003
37,0.33299999999999996,0.0,0.0,0.0,0.33299999999999996,13.80%,1.40%,0.96,10.10%,70.00%,55.00%,0.526,0.552,0.348,0.33899999999999997,0.64,0.48200000000000004
38,0.0,0.33299999999999996,0.0,0.0,0.33299999999999996,13.80%,1.20%,0.97,8.80%,63.80%,62.50%,0.525,0.524,0.358,0.215,0.44,0.6940000000000001
39,0.0,0.0,0.33299999999999996,0.0,0.33299999999999996,14.10%,1.40%,0.95,10.00%,66.30%,52.50%,0.542,0.57,0.33799999999999997,0.33399999999999996,0.52,0.41200000000000003
40,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,9.00%,0.00%,1.13,11.30%,58.80%,45.00%,0.295,0.281,0.525,0.45799999999999996,0.28,0.2
41,0.25,0.25,0.25,0.25,0.0,19.10%,2.40%,1.06,11.30%,70.00%,57.50%,0.78,0.753,0.457,0.457,0.64,0.5529999999999999
42,0.25,0.25,0.25,0.0,0.25,17.00%,1.90%,1.02,10.30%,71.30%,65.00%,0.679,0.665,0.415,0.363,0.68,0.765
43,0.25,0.25,0.0,0.25,0.25,15.00%,1.50%,0.98,9.30%,70.00%,61.30%,0.582,0.5820000000000001,0.365,0.263,0.64,0.659
44,0.25,0.0,0.25,0.25,0.25,15.30%,1.50%,1.08,11.10%,66.30%,53.80%,0.599,0.58,0.469,0.435,0.52,0.447
45,0.0,0.25,0.25,0.25,0.25,15.20%,1.40%,1.05,9.80%,67.50%,62.50%,0.595,0.568,0.44,0.315,0.56,0.6940000000000001
46,0.25,0.25,0.25,0.0,0.0,17.70%,2.30%,0.97,10.80%,68.80%,58.80%,0.714,0.732,0.358,0.41200000000000003,0.6,0.588
47,0.25,0.25,0.0,0.25,0.0,17.00%,2.30%,0.86,9.40%,67.50%,63.80%,0.681,0.7290000000000001,0.239,0.27,0.56,0.7290000000000001
48,0.25,0.0,0.25,0.25,0.0,15.40%,1.70%,1.04,11.70%,65.00%,51.30%,0.601,0.613,0.43200000000000005,0.49200000000000005,0.48,0.376
49,0.0,0.25,0.25,0.25,0.0,17.90%,2.20%,1,10.60%,71.30%,61.30%,0.721,0.718,0.392,0.385,0.68,0.659
50,0.25,0.25,0.0,0.0,0.25,16.30%,2.10%,0.83,8.60%,75.00%,63.80%,0.646,0.7,0.207,0.2,0.8,0.7290000000000001
51,0.25,0.0,0.25,0.0,0.25,15.30%,1.60%,1.03,10.90%,70.00%,60.00%,0.599,0.603,0.415,0.415,0.64,0.624
52,0.0,0.25,0.25,0.0,0.25,16.40%,1.90%,0.93,9.20%,70.00%,62.50%,0.649,0.665,0.312,0.258,0.64,0.6940000000000001
53,0.25,0.0,0.0,0.25,0.25,12.90%,1.20%,0.89,9.10%,67.50%,52.50%,0.482,0.528,0.275,0.24600000000000002,0.56,0.41200000000000003
54,0.0,0.25,0.0,0.25,0.25,14.00%,1.20%,1.01,9.70%,65.00%,56.30%,0.534,0.53,0.396,0.301,0.48,0.518
55,0.0,0.0,0.25,0.25,0.25,13.80%,1.30%,0.97,9.90%,67.50%,53.80%,0.525,0.544,0.359,0.321,0.56,0.447
56,0.2,0.2,0.2,0.2,0.2,17.20%,2.00%,1.01,10.20%,71.30%,60.00%,0.687,0.6729999999999999,0.402,0.34600000000000003,0.68,0.624
57,0.2,0.2,0.2,0.2,0.0,18.10%,2.30%,0.96,10.50%,67.50%,57.50%,0.73,0.7440000000000001,0.35,0.379,0.56,0.5529999999999999
58,0.2,0.2,0.2,0.0,0.2,17.10%,2.20%,0.94,10.00%,70.00%,63.80%,0.685,0.7070000000000001,0.32299999999999995,0.32899999999999996,0.64,0.7290000000000001
59,0.2,0.2,0.0,0.2,0.2,15.30%,1.80%,0.88,8.70%,72.50%,63.80%,0.596,0.632,0.26,0.204,0.72,0.7290000000000001
60,0.2,0.0,0.2,0.2,0.2,15.60%,1.80%,0.97,10.40%,66.30%,52.50%,0.613,0.631,0.36,0.369,0.52,0.41200000000000003
61,0.0,0.2,0.2,0.2,0.2,16.10%,1.80%,0.98,9.40%,68.80%,66.30%,0.636,0.634,0.36200000000000004,0.27699999999999997,0.6,0.8
62,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.16699999999999998,17.30%,2.20%,0.91,9.50%,71.30%,66.30%,0.693,0.716,0.29600000000000004,0.285,0.68,0.8
63,1.0,0.0,0.0,0.0,0.0,0.000,25.54%,2.08%,0.975575441,8.14%,80.00%,60.00%,0.625,0.7140000000000001,0.382,0.688,0.56
64,0.0,1.0,0.0,0.0,0.0,0.000,24.96%,0.40%,1.350801027,7.75%,85.00%,75.00%,0.599,0.431,0.737,0.634,0.68
65,0.0,0.0,1.0,0.0,0.0,0.000,23.12%,1.35%,1.040006305,8.78%,80.00%,40.00%,0.518,0.59,0.44299999999999995,0.777,0.56
66,0.0,0.0,0.0,1.0,0.0,0.000,20.38%,-0.26%,1.291898675,8.86%,70.00%,60.00%,0.396,0.32,0.682,0.7879999999999999,0.32
67,0.0,0.0,0.0,0.0,1.0,0.000,16.38%,-0.08%,0.97470562,4.61%,80.00%,45.00%,0.21899999999999997,0.35100000000000003,0.381,0.2,0.56
68,0.0,0.0,0.0,0.0,0.0,1.000,17.35%,-0.72%,1.227074581,8.07%,75.00%,50.00%,0.262,0.243,0.62,0.679,0.44
69,0.5,0.5,0.0,0.0,0.0,0.000,29.49%,2.46%,1.060690113,6.49%,90.00%,70.00%,0.8,0.778,0.462,0.46,0.8
70,0.5,0.0,0.5,0.0,0.0,0.000,25.59%,1.96%,1.010396834,8.34%,80.00%,50.00%,0.627,0.693,0.415,0.716,0.56
71,0.0,0.5,0.5,0.0,0.0,0.000,24.82%,1.24%,1.138027976,7.72%,75.00%,65.00%,0.593,0.5720000000000001,0.536,0.63,0.44
72,0.5,0.0,0.0,0.5,0.0,0.000,22.76%,1.89%,0.850334931,5.98%,85.00%,55.00%,0.502,0.682,0.263,0.39,0.68
73,0.0,0.5,0.0,0.5,0.0,0.000,26.13%,0.70%,1.351860421,8.49%,80.00%,70.00%,0.6509999999999999,0.48100000000000004,0.738,0.736,0.56
74,0.0,0.0,0.5,0.5,0.0,0.000,22.83%,1.71%,0.912782533,7.18%,80.00%,60.00%,0.505,0.653,0.322,0.555,0.56
75,0.5,0.0,0.0,0.0,0.5,0.000,24.39%,1.54%,1.015146796,5.73%,85.00%,70.00%,0.574,0.624,0.419,0.355,0.68
76,0.0,0.5,0.0,0.0,0.5,0.000,18.45%,-0.74%,1.264588698,6.29%,70.00%,55.00%,0.311,0.239,0.6559999999999999,0.43200000000000005,0.32
77,0.0,0.0,0.5,0.0,0.5,0.000,21.53%,1.26%,0.934076432,5.72%,85.00%,55.00%,0.447,0.5770000000000001,0.342,0.354,0.68
78,0.0,0.0,0.0,0.5,0.5,0.000,15.96%,-0.97%,1.186506383,6.20%,70.00%,45.00%,0.2,0.2,0.5820000000000001,0.42,0.32
79,0.5,0.0,0.0,0.0,0.0,0.500,23.85%,2.07%,0.878797973,7.27%,90.00%,50.00%,0.55,0.713,0.29,0.568,0.8
80,0.0,0.5,0.0,0.0,0.0,0.500,27.56%,0.73%,1.416786913,8.70%,85.00%,80.00%,0.715,0.48700000000000004,0.8,0.765,0.68
81,0.0,0.0,0.5,0.0,0.0,0.500,23.51%,1.47%,1.020052502,8.09%,80.00%,60.00%,0.535,0.611,0.424,0.6809999999999999,0.56
82,0.0,0.0,0.0,0.5,0.0,0.500,18.67%,-0.61%,1.288934605,8.95%,75.00%,55.00%,0.32,0.261,0.679,0.8,0.44
83,0.0,0.0,0.0,0.0,0.5,0.500,18.25%,-0.15%,1.100084926,5.48%,70.00%,60.00%,0.302,0.33899999999999997,0.5,0.321,0.32
84,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,0.000,29.01%,2.27%,1.091539761,7.13%,80.00%,75.00%,0.779,0.745,0.49200000000000005,0.5489999999999999,0.56
85,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,0.0,0.000,24.91%,1.73%,1.007484456,6.63%,80.00%,55.00%,0.597,0.6559999999999999,0.41200000000000003,0.479,0.56
86,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.0,0.000,23.77%,1.71%,0.960763719,7.19%,85.00%,60.00%,0.547,0.652,0.36700000000000005,0.557,0.68
87,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.000,25.81%,1.36%,1.160275552,7.77%,80.00%,65.00%,0.637,0.593,0.557,0.636,0.56
88,0.33299999999999996,0.33299999999999996,0.0,0.0,0.33299999999999996,0.000,22.07%,0.38%,1.179684242,5.96%,75.00%,60.00%,0.47100000000000003,0.42700000000000005,0.575,0.387,0.44
89,0.33299999999999996,0.0,0.33299999999999996,0.0,0.33299999999999996,0.000,25.53%,2.18%,0.924903302,6.27%,80.00%,60.00%,0.624,0.731,0.33299999999999996,0.43,0.56
90,0.0,0.33299999999999996,0.33299999999999996,0.0,0.33299999999999996,0.000,21.13%,0.25%,1.165647357,6.28%,70.00%,55.00%,0.43,0.406,0.562,0.431,0.32
91,0.33299999999999996,0.0,0.0,0.33299999999999996,0.33299999999999996,0.000,18.81%,1.00%,0.844841145,4.77%,80.00%,50.00%,0.327,0.5329999999999999,0.258,0.222,0.56
92,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.000,20.61%,-0.42%,1.312164113,7.06%,70.00%,55.00%,0.406,0.293,0.701,0.539,0.32
93,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.000,18.94%,1.09%,0.83478866,5.14%,80.00%,55.00%,0.332,0.547,0.248,0.27399999999999997,0.56
94,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,0.333,28.35%,2.46%,1.008456897,6.88%,80.00%,65.00%,0.75,0.778,0.413,0.514,0.56
95,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,0.333,24.73%,1.85%,0.984688012,7.87%,80.00%,55.00%,0.589,0.6759999999999999,0.39,0.65,0.56
96,0.0,0.33299999999999996,0.33299999999999996,0.0,0.0,0.333,27.56%,1.62%,1.18977821,8.09%,80.00%,60.00%,0.715,0.637,0.585,0.6809999999999999,0.56
97,0.33299999999999996,0.0,0.0,0.33299999999999996,0.0,0.333,22.04%,1.54%,0.908043903,6.89%,80.00%,65.00%,0.47,0.624,0.317,0.515,0.56
98,0.0,0.33299999999999996,0.0,0.33299999999999996,0.0,0.333,25.45%,0.70%,1.317706331,8.56%,75.00%,75.00%,0.621,0.48100000000000004,0.706,0.746,0.44
99,0.0,0.0,0.33299999999999996,0.33299999999999996,0.0,0.333,23.98%,1.50%,1.035423441,7.93%,75.00%,60.00%,0.556,0.616,0.43799999999999994,0.659,0.44
100,0.33299999999999996,0.0,0.0,0.0,0.33299999999999996,0.333,25.08%,2.02%,0.944525368,6.48%,85.00%,60.00%,0.605,0.703,0.35200000000000004,0.45899999999999996,0.68
101,0.0,0.33299999999999996,0.0,0.0,0.33299999999999996,0.333,22.41%,-0.08%,1.322436117,7.03%,70.00%,70.00%,0.486,0.35100000000000003,0.711,0.534,0.32
102,0.0,0.0,0.33299999999999996,0.0,0.33299999999999996,0.333,22.82%,1.58%,0.940287944,6.89%,80.00%,55.00%,0.504,0.629,0.348,0.515,0.56
103,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.333,15.95%,-0.87%,1.177865753,7.36%,65.00%,50.00%,0.2,0.218,0.573,0.58,0.2
104,0.25,0.25,0.25,0.25,0.0,0.000,26.67%,1.89%,1.067782415,7.31%,75.00%,65.00%,0.675,0.682,0.469,0.573,0.44
105,0.25,0.25,0.25,0.0,0.25,0.000,25.00%,1.31%,1.105712056,6.13%,85.00%,65.00%,0.601,0.585,0.505,0.41100000000000003,0.68
106,0.25,0.25,0.0,0.25,0.25,0.000,20.38%,0.34%,1.099080976,5.81%,70.00%,60.00%,0.396,0.42100000000000004,0.499,0.366,0.32
